Taxon,FAD,LAD
Alcidedorbignya_inopinata,66,64.6
Allqokirus_australis,66,64.6
Andinodelphys_cochabambensis,66,64.6
Baioconodon_denverensis,66,64.6
Carcinodon_simplex,66,64.6
Ectoconus_ditrigonus,66,64.6
Eoconodon_coryphaeus,66,64.6
Loxolophus_hyattianus,66,64.6
Maiorana_noctiluca,66,64.6
Mayulestes_ferox,66,64.6
Mimatuta_minuial,66,64.6
Miniconus_jeanninae,66,64.6
Onychodectes_tisonensis,66,64.6
Oxyclaenus_simplex,66,64.6
Periptychus_coarctatus,66,61.7
Procerberus_formicarum,66,64.6
Protochriacus_simplex,66,64.6
Protungulatum_donnae,66,64.6
Pucadelphys_andinus,66,64.6
Sigynorum_magnadivisus,66,64.6
Wortmania_otariidens,66,64.6
Ambilestes_cerberoides,66.043,63.3
Anisonchus_athelas,66.043,63.3
Baioconodon_nordicus,66.043,63.3
Bemalambda_nanhsiungensis,66.043,61.7
Betonnia_tsosia,66.043,63.3
Chacopterygus_minutus,66.043,63.3
Chriacus_calenancus,66.043,63.3
Cimolestes_incisus,66.043,55.8
Conacodon_cophater,66.043,63.3
Conacodon_delphae,66.043,63.3
Conacodon_harbourae,66.043,63.3
Conacodon_kohlbergeri,66.043,63.3
Conacodon_matthewi,66.043,63.3
Desmatoclaenus_dianae,66.043,63.3
Desmatoclaenus_protogonioides,66.043,63.3
Ectoconus_cavigellii,66.043,63.3
Ectoconus_symbolus,66.043,63.3
Eoconodon_copanus,66.043,63.3
Eoconodon_ginibitohia,66.043,63.3
Eoconodon_hutchisoni,66.043,63.3
Eoconodon_nidhoggi,66.043,63.3
Goniacodon_gaudryanus,66.043,63.3
Goniacodon_hiawathae,66.043,63.3
Harpyodus_euros,66.043,61.7
Hemithlaeus_josephi,66.043,63.3
Hemithlaeus_kowalevskianus,66.043,63.3
Jaskhadelphys_minutus,66.043,61.7
Leptacodon_proserpinae,66.043,63.3
Loxolophus_faulkneri,66.043,63.3
Loxolophus_stenognathus,66.043,63.3
Mimatuta_makpialutae,66.043,63.3
Mimatuta_morgoth,66.043,63.3
Molinodus_suarezi,66.043,61.7
Oxyclaenus_corax,66.043,63.3
Oxyclaenus_cuspidatus,66.043,63.3
Oxyclaenus_subbituminus,66.043,63.3
Procerberus_grandis,66.043,63.3
Procerberus_plutonis,66.043,63.3
Prodiacodon_crustulum,66.043,63.3
Protungulatum_gorgun,66.043,63.3
Protungulatum_sloani,66.043,63.3
Puercolestes_simpsoni,66.043,63.3
Purgatorius_coracis,66.043,63.3
Purgatorius_janisae,66.043,63.3
Purgatorius_pinecreeensis,66.043,63.3
Purgatorius_titusi,66.043,63.3
Purgatorius_unio,66.043,63.3
Roberthoffstetteria_nationalgeographica,66.043,61.7
Sudamerica_ameghinoi,66.043,48.6
Szalinia_gracilis,66.043,61.7
Taeniolabis_lamberti,66.043,63.3
Taeniolabis_taoensis,66.043,63.3
Thylacodon_montanensis,66.043,63.3
Thylacodon_pusillus,66.043,63.3
Tiulordia_floresi,66.043,61.7
Adalatherium_hui,70.6,66.043
Alostera_saskatchewanensis,70.6,66.043
Alphadon_eatoni,70.6,66
Batodon_tenuis,70.6,66.043
Bharattherium_bonapartei,70.6,66.043
Cimolestes_stirtoni,70.6,66.043
Didelphodon_coyi,70.6,66
Ectocentrocristus_foxi,70.6,66.043
Eodelphis_cutleri,70.6,66.043
Glasbius_intricatus,70.6,66.043
Glasbius_twitchelli,70.6,66.043
Gypsonictops_clemensi,70.6,66.043
Gypsonictops_hypoconus,70.6,66.043
Gypsonictops_illuminatus,70.6,66.043
Gypsonictops_lewisi,70.6,66.043
Hatcheritherium_alpha,70.6,66.043
Lavanify_miolaka,70.6,66.043
Lotheridium_mengi,70.6,66
Nanocuris_improvida,70.6,66.043
Paranyctoides_sternbergi,70.6,66.043
Protalphadon_foxi,70.6,66.043
Protalphadon_lulli,70.6,66.043
Protolambda_mcgilli,70.6,6.043
Protungulatum_coombsi,70.6,66.043
Scollardius_propalaeoryctes,70.6,66.043
Vintana_sertichi,70.6,66.043
Pediomys_elegans,70.7,66.043
Altacreodus_magnus,72.1,66
Didelphodon_vorax,72.1,66
Asioryctes_nemegtensis,76,70
Barunlestes_butleri,76,70
Deltatheridium_pretrituberculare,76,70
Kennalestes_gobiensis,76,71
Maelestes_gobiensis,76,71
Ukhaatherium_nessovi,76,71
Zalambdalestes_lechei,76,71
Asiatherium_reshetovi,78,72.1
Eodelphis_browni,78,72.1
Aenigmadelphys_archeri,84.9,70.6
Alymlestes_kielanae,84.9,70.6
Anchistodelphys_archibaldi,84.9,70.6
Avitotherium_utahensis,84.9,70.6
Catopsbaatar_catopsaloides,84.9,70.6
Chulsanbaatar_vulgaris,84.9,70.6
Claenodon_latidens,84.9,66.043
Coloniatherium_cilinskii,84.9,66.043
Deltatheridium_nessovi,84.9,70.6
Deltatheroides_cretacicus,84.9,70.6
Ferugliotherium_windhauseni,84.9,66.043
Gallolestes_agujaensis,84.9,70.6
Gallolestes_pachymandibularis,84.9,70.6
Gondwanatherium_patagonicum,84.9,66.043
Groebertherium_stipanicici,84.9,66.043
Iqualadelphis_lactea,84.9,70.6
Iugomortiferum_thoringtoni,84.9,70.6
Kryptobaatar_dashzevegi,84.9,70.6
Lainodon_orueetxebarriai,84.9,70.6
Lainodon_ragei,84.9,70.6
Leonardus_cuspidatus,84.9,66.043
Mesungulatum_houssayi,84.9,66.043
Nemegtbaatar_gobiensis,84.9,70.6
Paranyctoides_maleficus,84.9,70.6
Reigitherium_bunodonta,84.9,66.043
Trapalcotherium_matuastensis,84.9,66.043
Varalphadon_crebreforme,84.9,70.6
Zalambdalestes_grangeri,84.9,70.6
Albertatherium_primus,85.8,84.9
Albertatherium_secundus,85.8,84.9
Alticonodon_lindoei,85.8,84.9
Potamotelses_aquilensis,85.8,84.9
Zhalmouzia_bazhanovi,85.8,70.6
Alphadon_halleyi,86.3,70
Borisodon_kara,93.5,89.3
Aspanlestes_aptap,93.9,86.5
Kulbeckia_kulbecke,93.9,83.5
Uchkudukodon_nessovi,93.9,89.3
Zhelestes_temirkazyk,93.9,86.5
Anchistodelphys_delicatus,94.3,89.3
Bulaklestes_kezbe,94.3,89.3
Daulestes_inobservabilis,94.3,89.3
Daulestes_kulbeckensis,94.3,89.3
Eoungulatum_kudukensis,94.3,89.3
Ortalestes_tostak,94.3,89.3
Paranyctoides_quadrans,94.3,89.3
Parazhelestes_mynbulakensis,94.3,70.6
Parazhelestes_robustus,94.3,89.3
Sulestes_karakshi,94.3,89.3
Cronopio_dentiacutus,99.6,93.5
Bobolestes_zenge,99.7,94.3
Dakotadens_morrowi,99.7,94.3
Eozhelestes_mangit,99.7,94.3
Galulatherium_jenkinsi,99.7,70.6
Pariadens_kirklandi,99.7,94.3
Sheikhdzheilia_rezvyii,99.7,94.3
Steropodon_galmani,99.7,94.3
Tsagandelta_dashzevegi,99.7,84.9
Varalphadon_janetae,99.7,85.8
Dakotadens_pertritus,105.3,94.3
Kokopellia_juddi,105.3,94.3
Pariadens_mckennai,105.3,94.3
Sasayamamylos_kawaii,112.03,109
Holoclemensia_texana,112.6,109
Kermackia_texana,112.6,109
Montanalestes_keeblerorum,112.6,99.7
Oklatheridium_minax,112.6,109
Oklatheridium_szalayi,112.6,109
Oklatheridium_wiblei,112.6,99.7
Pappotherium_pattersoni,112.6,109
Spalacotheroides_bridwelli,112.6,99.7
Montanalestes_keebleri,113,100.5
Heishanlestes_changi,120,110
Atokatheridium_boreni,122.46,109
Ausktribosphenos_nyktos,122.46,112.6
Bishops_whitmorei,122.46,112.6
Mozomus_shikamai,122.46,109
Teinolophos_trusleri,122.46,112.6
Lactodens_sheni,125,113
Prokennalestes_spp,125,112.6
Symmetrolestes_parvus,125,113
Acristatherium_yanensis,125.45,122.46
Anebodon_luoi,125.45,122.46
Arguimus_khosbajari,125.45,99.7
Arundelconodon_hottoni,125.45,122.46
Gobiconodon_borissiaki,125.45,112.6
Gobiconodon_ostromi,125.45,99.7
Gobiconodon_zofiae,125.45,122.46
Gobiotheriodon_infinitus,125.45,99.7
Juchilestes_liaoningensis,125.45,122.46
Kielantherium_gobiensis,125.45,99.7
Liaoconodon_hui,125.45,112.6
Maotherium_sinensis,125.45,122.46
Meiconodon_lii,125.45,99.7
Meiconodon_setoguchii,125.45,99.7
Prokennalestes_minor,125.45,99.7
Prokennalestes_trofimovi,125.45,99.7
Repenomamus_giganticus,125.45,122.46
Repenomamus_robustus,125.45,122.46
Sinobaatar_fuxinensis,125.45,99.7
Sinobaatar_xiei,125.45,99.7
Zhangolestes_jilinensis,125.45,94.3
Eomaia_scansoria,125.5,122.5
