Taxon,FAD,LAD
Colobodectes_cluveri,265.1,259.1
Compsodon_helmoedi,259.1,251.902
Cotylorhynchus_bransoni,272.95,268.8
Cotylorhynchus_hancoki,272.95,268.8
Cotylorhynchus_romeri,283.5,272.95
Counillonia_superoculis,252.3,247.2
Cricodon_spp,237,237
Cricodon_kannemeyeri,247.2,242
Cricodon_metabolus,247.2,237
Criocephalosaurus_spp,265.1,259.1
Cryptovenator_hirschbergeri,303.7,298.9
Ctenorhachis_jacksoni,290.1,272.95
Ctenospndylus_spp,295,272.95
Ctenospondylus_casei,290.1,272.95
Ctenospondylus_ninevehensis,295,290.1
Cutleria_wilmarthi,298.9,295
Cynognathus_crateronotus,251.2,237
Cynosaurus_suppostus,252,252
Cyonosaurus_longiceps,259,254
Cyonosaurus_rubidgei,259,252.3
Dadadon_isaloi,242,227
Dapeocephalus_leoniceps,259.1,251.902
Daqingshanodon_limbus,254.14,251.902
Datheosaurus_macrous,303.7,298.9
Delectosaurus_arefjevi,254.14,251.902
Delectosaurus_berezhanensis,254.14,251.902
Delphinognathus_conocephalus,265.1,259.1
Diadectes,276,276
Dendromaia_unamakiensis,314.6,306.95
Diademodon_tetragonus,251.2,237
Dianzhongia_longirostrata,199.3,182.7
Diarthognathus_broomi,201.3,190.8
Dicynodon_angielczyki,259,252
Dicynodon_huenei,259.1,251.902
Dicynodon_lacerticeps,259.1,251.902
Dicynodontoides_spp,252,252
Dicynodontoides_nowacki,259,254
Dicynodontoides_recurvidens,252.3,247.2
Diegocanis_elegans,237,227
Digalodon_rubidgei,259.1,251.902
Diictodon_feliceps,253,253
Dimacrodon_hottoni,272.95,268.8
Dimetrodon_spp.,275,275
Dimetrodon_angelensis,272.95,268.8
Dimetrodon_booneorum,290.1,272.95
Dimetrodon_borealis,290.1,283.5
Dimetrodon_dollovianus,290.1,272.95
Dimetrodon_gigashomogenes,283.5,272.95
Dimetrodon_grandis,283.5,272.95
Dimetrodon_limbatus,290.1,272.95
Dimetrodon_loomisi,283.5,272.95
Dimetrodon_macrospondylus,283.5,272.95
Dimetrodon_milleri,295,283.5
Dimetrodon_natalis,290.1,272.95
Dimetrodon_occidentalis,298.9,283.5
Dimetrodon_teutonis,290.1,283.5
Dinanomodon_gilli,259.1,251.902
Dinnebitodon_amarali,199.3,182.7
