"junior" "senior" "rule"
"Herpetotherium_knighti" "Herpetotherium_youngi" "rule_1b"
"Herpetotherium_knighti" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_knighti" "Herpetotherium_valens" "rule_2b"
"Herpetotherium_merriami" "Herpetotherium_youngi" "rule_1b"
"Herpetotherium_merriami" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_merriami" "Herpetotherium_valens" "rule_2b"
"Herpetotherium_youngi" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_youngi" "Herpetotherium_valens" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_gracilis" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_nanum" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_pusillum" "rule_2b"
"Groebertherium_novasi" "Groebertherium_stipanicici" "rule_2b"
"Henosferus_molus" "Asfaltomylos_patagonicus" "rule_2b"
"Laolestes_goodrichi" "Laolestes_hodsoni" "rule_1b"
"Laolestes_goodrichi" "Laolestes_oweni" "rule_1b"
"Laolestes_goodrichi" "Laolestes_eminens" "rule_2b"
"Laolestes_hodsoni" "Laolestes_oweni" "rule_1b"
"Laolestes_hodsoni" "Laolestes_eminens" "rule_2b"
"Laolestes_oweni" "Laolestes_eminens" "rule_2b"
"Mesungulatum_lamarquensis" "Mesungulatum_houssayi" "rule_2b"
"Necrolestes_mirabilis" "Necrolestes_patagonensis" "rule_2b"
"Oklatheridium_wiblei" "Oklatheridium_minax" "rule_2b"
"Oklatheridium_wiblei" "Oklatheridium_szalayi" "rule_2b"
"Scollardius_propalaeoryctes" "Ambilestes_cerberoides" "rule_2b"
"Alphadon_perexiguus" "Alphadon_attaragos" "rule_2b"
"Alphadon_perexiguus" "Alphadon_eatoni" "rule_2b"
"Alphadon_perexiguus" "Alphadon_halleyi" "rule_2b"
"Alphadon_perexiguus" "Alphadon_marshi" "rule_2b"
"Alphadon_perexiguus" "Alphadon_sahnii" "rule_2b"
"Alphadon_perexiguus" "Alphadon_wilsoni" "rule_2b"
"Aquiladelphis_incus" "Aquiladelphis_laurae" "rule_1b"
"Aquiladelphis_incus" "Aquiladelphis_minor" "rule_1b"
"Aquiladelphis_laurae" "Aquiladelphis_minor" "rule_1b"
"Caroloameghinia_mater" "Caroloameghinia_tenuis" "rule_1b"
"Dakotadens_morrowi" "Dakotadens_pertritus" "rule_1b"
"Eoalphadon_clemensi" "Eoalphadon_lillegraveni" "rule_1b"
"Eoalphadon_clemensi" "Eoalphadon_woodburnei" "rule_1b"
"Eoalphadon_lillegraveni" "Eoalphadon_woodburnei" "rule_1b"
"Eomicrobiotherium_matutinum" "Eomicrobiotherium_mykerum" "rule_1b"
"Epidolops_ameghinoi" "Prepidolops_molinai" "rule_1b"
"Hatcheritherium_alpha" "Zeusdelphys_complicatus" "rule_1b"
"Klohnia_charrieri" "Klohnia_major" "rule_1b"
"Kramadolops_abanicoi" "Kramadolops_mckennai" "rule_1b"
"Leptalestes_cooki" "Leptalestes_krejcii" "rule_1b"
"Leptalestes_cooki" "Leptalestes_prokrejcii" "rule_1b"
"Leptalestes_cooki" "Leptalestes_toevsi" "rule_1b"
"Leptalestes_krejcii" "Leptalestes_prokrejcii" "rule_1b"
"Leptalestes_krejcii" "Leptalestes_toevsi" "rule_1b"
"Leptalestes_prokrejcii" "Leptalestes_toevsi" "rule_1b"
"Minusculodelphis_minimus" "Minusculodelphis_modicum" "rule_1b"
"Nortedelphys_jasoni" "Nortedelphys_magnus" "rule_1b"
"Nortedelphys_jasoni" "Nortedelphys_minimus" "rule_1b"
"Nortedelphys_magnus" "Nortedelphys_minimus" "rule_1b"
"Pachybiotherium_acclinum" "Pachybiotherium_illuminatum" "rule_1b"
"Pachybiotherium_acclinum" "Pachybiotherium_minor" "rule_1b"
"Pachybiotherium_illuminatum" "Pachybiotherium_minor" "rule_1b"
"Protalphadon_foxi" "Protalphadon_lulli" "rule_1b"
"Protodidelphis_mastodontoides" "Protodidelphis_vanzolinii" "rule_1b"
"Rosendolops_ebaios" "Rosendolops_primigenium" "rule_1b"
"Thylacodon_montanensis" "Thylacodon_pusillus" "rule_1b"
"Varalphadon_janetae" "Varalphadon_wahweapensis" "rule_1b"
"Bharattherium_bonapartei" "Lavanify_miolaka" "rule_1b"
"Bolodon_crassidens" "Bolodon_elongatus" "rule_1b"
"Bolodon_crassidens" "Bolodon_osborni" "rule_1b"
"Bolodon_elongatus" "Bolodon_osborni" "rule_1b"
"Catopsbaatar_catopsaloides" "Kryptobaatar_dashzevegi" "rule_1b"
"Ferugliotherium_windhauseni" "Trapalcotherium_matuastensis" "rule_1b"
"Ptilodus_gnomus" "Ptilodus_montanus" "rule_1b"
"Taeniolabis_lamberti" "Taeniolabis_scalper" "rule_1b"
"Taeniolabis_lamberti" "Taeniolabis_taoensis" "rule_1b"
"Taeniolabis_scalper" "Taeniolabis_taoensis" "rule_1b"
"Amblotherium_gracilis" "Amblotherium_pusillum" "rule_1b"
"Mimoperadectes_houdei" "Mimoperadectes_labrus" "rule_1b"
"Acotherulum_saturninum" "Dichobune_leporina" "rule_1b"
"Adinotherium_ovinum" "Adinotherium_robustum" "rule_1b"
"Astrapotherium_magnum" "Trigonostylops_wortmani" "rule_1b"
"Colbertia_lumbrerense" "Colbertia_magellanica" "rule_1b"
"Harpyodus_decorus" "Harpyodus_euros" "rule_1b"
"Macrauchenia_patagonica" "Macrauchenia_ullomensis" "rule_1b"
"Magnadapis_intermedius" "Adapis_parisiensis" "rule_2b"
"Notostylops_murinus" "Notostylops_pendens" "rule_1b"
"Notostylops_murinus" "Notostylops_pigafettai" "rule_1b"
"Notostylops_pendens" "Notostylops_pigafettai" "rule_1b"
"Proterotherium_australe" "Proterotherium_cavum" "rule_1b"
"Proterotherium_australe" "Proterotherium_intermedium" "rule_1b"
"Proterotherium_australe" "Proterotherium_principale" "rule_1b"
"Proterotherium_cavum" "Proterotherium_intermedium" "rule_1b"
"Proterotherium_cavum" "Proterotherium_principale" "rule_1b"
"Proterotherium_intermedium" "Proterotherium_principale" "rule_1b"
"Protypotherium_attenuatum" "Protypotherium_australe" "rule_1b"
"Pyrotherium_macfaddeni" "Pyrotherium_romerii" "rule_1b"
"Oklatheridium_minax" "Oklatheridium_szalayi" "rule_2b"
"Aleodon_cromptoni" "Aleodon_brachyrhamphus" "rule_2b"
"Alphadon_attaragos" "Alphadon_eatoni" "rule_1b"
"Alphadon_attaragos" "Alphadon_halleyi" "rule_1b"
"Alphadon_attaragos" "Alphadon_marshi" "rule_1b"
"Alphadon_attaragos" "Alphadon_sahnii" "rule_1b"
"Alphadon_attaragos" "Alphadon_wilsoni" "rule_1b"
"Alphadon_eatoni" "Alphadon_halleyi" "rule_1b"
"Alphadon_eatoni" "Alphadon_marshi" "rule_1b"
"Alphadon_eatoni" "Alphadon_sahnii" "rule_1b"
"Alphadon_eatoni" "Alphadon_wilsoni" "rule_1b"
"Alphadon_halleyi" "Alphadon_marshi" "rule_1b"
"Alphadon_halleyi" "Alphadon_sahnii" "rule_1b"
"Alphadon_halleyi" "Alphadon_wilsoni" "rule_1b"
"Alphadon_marshi" "Alphadon_sahnii" "rule_1b"
"Alphadon_marshi" "Alphadon_wilsoni" "rule_1b"
"Alphadon_sahnii" "Alphadon_wilsoni" "rule_1b"
"Didelphis_marsupialis" "Didelphis_albiventris" "rule_2b"
"Eodelphis_cutleri" "Eodelphis_browni" "rule_2b"
"Glasbius_intricatus" "Glasbius_twitchelli" "rule_1b"
"Pariadens_kirklandi" "Pariadens_mckennai" "rule_1b"
"Agilodocodon_scansorius" "Docofossor_brachydactylus" "rule_1b"
"Caenolestes_caniventer" "Caenolestes_condorensis" "rule_1b"
"Caenolestes_caniventer" "Caenolestes_convelatus" "rule_1b"
"Caenolestes_caniventer" "Caenolestes_fuliginnosus" "rule_1b"
"Caenolestes_caniventer" "Caenolestes_sangay" "rule_1b"
"Caenolestes_condorensis" "Caenolestes_convelatus" "rule_1b"
"Caenolestes_condorensis" "Caenolestes_fuliginnosus" "rule_1b"
"Caenolestes_condorensis" "Caenolestes_sangay" "rule_1b"
"Caenolestes_convelatus" "Caenolestes_fuliginnosus" "rule_1b"
"Caenolestes_convelatus" "Caenolestes_sangay" "rule_1b"
"Caenolestes_fuliginnosus" "Caenolestes_sangay" "rule_1b"
"Ambolestes_zhoui" "Sinodelphys_szalayi" "rule_2b"
"Alsaticopithecus_leemani" "Alsaticopithecus_leemanni" "rule_1b"
"Anacodon_cultridens" "Anacodon_ursidens" "rule_1b"
"Anisonchus_athelas" "Anisonchus_fortunatus" "rule_1b"
"Anisonchus_athelas" "Anisonchus_oligistus" "rule_1b"
"Anisonchus_athelas" "Anisonchus_onostus" "rule_1b"
"Anisonchus_athelas" "Anisonchus_sectorius" "rule_1b"
"Anisonchus_athelas" "Anisonchus_willeyi" "rule_1b"
"Anisonchus_fortunatus" "Anisonchus_oligistus" "rule_1b"
"Anisonchus_fortunatus" "Anisonchus_onostus" "rule_1b"
"Anisonchus_fortunatus" "Anisonchus_sectorius" "rule_1b"
"Anisonchus_fortunatus" "Anisonchus_willeyi" "rule_1b"
"Anisonchus_oligistus" "Anisonchus_onostus" "rule_1b"
"Anisonchus_oligistus" "Anisonchus_sectorius" "rule_1b"
"Anisonchus_oligistus" "Anisonchus_willeyi" "rule_1b"
"Anisonchus_onostus" "Anisonchus_sectorius" "rule_1b"
"Anisonchus_onostus" "Anisonchus_willeyi" "rule_1b"
"Anisonchus_sectorius" "Anisonchus_willeyi" "rule_1b"
"Apatemys_bellulus" "Apatemys_bellus" "rule_1b"
"Apatemys_bellulus" "Apatemys_downsi" "rule_1b"
"Apatemys_bellulus" "Apatemys_hendryi" "rule_1b"
"Apatemys_bellulus" "Apatemys_mutiniacus" "rule_1b"
"Apatemys_bellulus" "Apatemys_prouti" "rule_1b"
"Apatemys_bellulus" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_bellulus" "Apatemys_chardini" "rule_2b"
"Apatemys_bellus" "Apatemys_downsi" "rule_1b"
"Apatemys_bellus" "Apatemys_hendryi" "rule_1b"
"Apatemys_bellus" "Apatemys_mutiniacus" "rule_1b"
"Apatemys_bellus" "Apatemys_prouti" "rule_1b"
"Apatemys_bellus" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_bellus" "Apatemys_chardini" "rule_2b"
"Apatemys_downsi" "Apatemys_hendryi" "rule_1b"
"Apatemys_downsi" "Apatemys_mutiniacus" "rule_1b"
"Apatemys_downsi" "Apatemys_prouti" "rule_1b"
"Apatemys_downsi" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_downsi" "Apatemys_chardini" "rule_2b"
"Apatemys_hendryi" "Apatemys_mutiniacus" "rule_1b"
"Apatemys_hendryi" "Apatemys_prouti" "rule_1b"
"Apatemys_hendryi" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_hendryi" "Apatemys_chardini" "rule_2b"
"Apatemys_mutiniacus" "Apatemys_prouti" "rule_1b"
"Apatemys_mutiniacus" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_mutiniacus" "Apatemys_chardini" "rule_2b"
"Apatemys_prouti" "Apatemys_pygmaeus" "rule_1b"
"Apatemys_prouti" "Apatemys_chardini" "rule_2b"
"Apatemys_pygmaeus" "Apatemys_chardini" "rule_2b"
"Apheliscus_chydaeus" "Apheliscus_insidiosus" "rule_1b"
"Apheliscus_chydaeus" "Apheliscus_nitidus" "rule_1b"
"Apheliscus_chydaeus" "Apheliscus_wapitiensis" "rule_1b"
"Apheliscus_insidiosus" "Apheliscus_nitidus" "rule_1b"
"Apheliscus_insidiosus" "Apheliscus_wapitiensis" "rule_1b"
"Apheliscus_nitidus" "Apheliscus_wapitiensis" "rule_1b"
"Aphronorus_bearspawensis" "Aphronorus_fraudator" "rule_1b"
"Aphronorus_bearspawensis" "Aphronorus_orieli" "rule_1b"
"Aphronorus_bearspawensis" "Aphronorus_ratatoski" "rule_1b"
"Aphronorus_bearspawensis" "Aphronorus_simpsoni" "rule_1b"
"Aphronorus_fraudator" "Aphronorus_orieli" "rule_1b"
"Aphronorus_fraudator" "Aphronorus_ratatoski" "rule_1b"
"Aphronorus_fraudator" "Aphronorus_simpsoni" "rule_1b"
"Aphronorus_orieli" "Aphronorus_ratatoski" "rule_1b"
"Aphronorus_orieli" "Aphronorus_simpsoni" "rule_1b"
"Aphronorus_ratatoski" "Aphronorus_simpsoni" "rule_1b"
"Arctocyon_ferox" "Arctocyon_mumak" "rule_1b"
"Arctocyon_ferox" "Arctocyon_nexus" "rule_1b"
"Arctocyon_ferox" "Arctocyon_primaevus" "rule_2b"
"Arctocyon_mumak" "Arctocyon_nexus" "rule_1b"
"Arctocyon_mumak" "Arctocyon_primaevus" "rule_2b"
"Arctocyon_nexus" "Arctocyon_primaevus" "rule_2b"
"Arctostylops_steini" "Asiostylops_spanios" "rule_1b"
"Bathmodon_brevipes" "Bathmodon_latipes" "rule_1b"
"Bathmodon_brevipes" "Bathmodon_semicinctus" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_eocaenus" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_flerowi" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_gosseleti" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_lobatus" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_oweni" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_pisuqti" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_proterus" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_ryani" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_singularis" "rule_1b"
"Bathmodon_brevipes" "Loxolophodon_furcatus" "rule_1b"
"Bathmodon_brevipes" "Manteodon_youngi" "rule_1b"
"Bathmodon_brevipes" "Coryphodon_armatus" "rule_2b"
"Bathmodon_brevipes" "Coryphodon_radians" "rule_2b"
"Bathmodon_latipes" "Bathmodon_semicinctus" "rule_1b"
"Bathmodon_latipes" "Coryphodon_eocaenus" "rule_1b"
"Bathmodon_latipes" "Coryphodon_flerowi" "rule_1b"
"Bathmodon_latipes" "Coryphodon_gosseleti" "rule_1b"
"Bathmodon_latipes" "Coryphodon_lobatus" "rule_1b"
"Bathmodon_latipes" "Coryphodon_oweni" "rule_1b"
"Bathmodon_latipes" "Coryphodon_pisuqti" "rule_1b"
"Bathmodon_latipes" "Coryphodon_proterus" "rule_1b"
"Bathmodon_latipes" "Coryphodon_ryani" "rule_1b"
"Bathmodon_latipes" "Coryphodon_singularis" "rule_1b"
"Bathmodon_latipes" "Loxolophodon_furcatus" "rule_1b"
"Bathmodon_latipes" "Manteodon_youngi" "rule_1b"
"Bathmodon_latipes" "Coryphodon_armatus" "rule_2b"
"Bathmodon_latipes" "Coryphodon_radians" "rule_2b"
"Bathmodon_semicinctus" "Coryphodon_eocaenus" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_flerowi" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_gosseleti" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_lobatus" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_oweni" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_pisuqti" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_proterus" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_ryani" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_singularis" "rule_1b"
"Bathmodon_semicinctus" "Loxolophodon_furcatus" "rule_1b"
"Bathmodon_semicinctus" "Manteodon_youngi" "rule_1b"
"Bathmodon_semicinctus" "Coryphodon_armatus" "rule_2b"
"Bathmodon_semicinctus" "Coryphodon_radians" "rule_2b"
"Bessoecetor_krausei" "Bessoecetor_pilodontus" "rule_1b"
"Bessoecetor_krausei" "Bessoecetor_septentrionalis" "rule_1b"
"Bessoecetor_pilodontus" "Bessoecetor_septentrionalis" "rule_1b"
"Bisonalveus_browni" "Bisonalveus_holtzmani" "rule_1b"
"Bryanictis_microlestes" "Bryanictis_paulus" "rule_1b"
"Bunophorus_etsagicus" "Bunophorus_grangeri" "rule_1b"
"Bunophorus_etsagicus" "Bunophorus_macropternus" "rule_1b"
"Bunophorus_grangeri" "Bunophorus_macropternus" "rule_1b"
"Cantius_actius" "Cantius_angulatus" "rule_1b"
"Cantius_actius" "Cantius_eppsi" "rule_1b"
"Cantius_actius" "Cantius_frugivorus" "rule_1b"
"Cantius_actius" "Cantius_mckennai" "rule_1b"
"Cantius_actius" "Cantius_nunienus" "rule_1b"
"Cantius_actius" "Cantius_ralstoni" "rule_1b"
"Cantius_actius" "Cantius_savagei" "rule_1b"
"Cantius_actius" "Cantius_simonsi" "rule_1b"
"Cantius_actius" "Cantius_torresi" "rule_1b"
"Cantius_actius" "Cantius_abditus" "rule_2b"
"Cantius_actius" "Cantius_trigonodus" "rule_2b"
"Cantius_angulatus" "Cantius_eppsi" "rule_1b"
"Cantius_angulatus" "Cantius_frugivorus" "rule_1b"
"Cantius_angulatus" "Cantius_mckennai" "rule_1b"
"Cantius_angulatus" "Cantius_nunienus" "rule_1b"
"Cantius_angulatus" "Cantius_ralstoni" "rule_1b"
"Cantius_angulatus" "Cantius_savagei" "rule_1b"
"Cantius_angulatus" "Cantius_simonsi" "rule_1b"
"Cantius_angulatus" "Cantius_torresi" "rule_1b"
"Cantius_angulatus" "Cantius_abditus" "rule_2b"
"Cantius_angulatus" "Cantius_trigonodus" "rule_2b"
"Cantius_eppsi" "Cantius_frugivorus" "rule_1b"
"Cantius_eppsi" "Cantius_mckennai" "rule_1b"
"Cantius_eppsi" "Cantius_nunienus" "rule_1b"
"Cantius_eppsi" "Cantius_ralstoni" "rule_1b"
"Cantius_eppsi" "Cantius_savagei" "rule_1b"
"Cantius_eppsi" "Cantius_simonsi" "rule_1b"
